,tweets
124,rupert murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer
125,dishonest media says mexico wo nt be paying for the wall if they pay a little later so the wall can be built more quickly media is fake
126,before i or anyone saw the classified andor highly confidential hacking intelligence report it was leaked out to  so serious
127,rt  watch our interview with  rusia did not suced in attempts to sway election …
128,kelyane conway went to  this morning for an interview with  dishonest media cut out 9 of her 10 minutes terible
129,we certainly don’t want intelligence interfering with politics and we don’t want politics interfe…
130,welcome to president and mrs bush  very nice
131,i look very much forward to meeting prime minister theresa may in washington in the spring britain a longtime us aly is very special
132,congratulation to jane timken on her major upset victory in becoming the ohio republican party chair jane is a loyal trump supporter  star
133,both countries wil perhaps work together to solve some of the many great and pressing problems and issues of the world
134,have enough problems around the world without yet another one when i am president rusia will respect us far more than they do now and
135,having a good relationship with rusia is a good thing not a bad thing only stupid people or fols would think that it is bad we
136,only reason the hacking of the poorly defended dnc is discussed is that the loss by the dems was so big that they are totally embarased
137,intelligence stated very strongly there was absolutely no evidence that hacking affected the election results voting machines not touched
138,gross negligence by the democratic national committee allowed hacking to take placethe republican national committee had strong defense
139,happy birthday
140,monitoring the terrible situation in florida just spoke to governor scot thoughts and prayers for all stay safe
141,i am asking the chairs of the house and senate committees to investigate top secret intelligence shared with nbc prior to me seeing it
142,ana wintour came to my office at trump tower to ask me to meet with the editors of conde nast  steven newhouse a friend will go this am
143,being a movie starand that was season 1 compared to season 14 now compare him to my season 1 but who cares he supported kasich  hilary
144,wow the ratings are in and arnold schwarzeneger got swamped or destroyed by comparison to the ratings machine djt so much for
145,hopefuly all suporters and those who want to make america great again will go to dc on january 20th it will be a great show
146,and knew they were in big trouble  which is why they canceled their big fireworks at the last minutethey saw a movement like never before
147,hilary and the dems were never going to beat the passion of my voters they saw what was happening in the last two weeks before the
148,the dishonest media does not report that any money spent on building the great wall for sake of sped will be paid back by mexico later
149,so how and why are they so sure about hacking if they never even requested an examination of the computer servers what is going on
150,the democratic national committee would not allow the fbi to study or see its computer info after it was supposedly hacked by rusia
151,how did nbc get an exclusive look into the top secret report he obama was presented who gave them this report and why politics
152,toyota motor said will build a new plant in baja mexico to build corolla cars for us no way build plant in us or pay big border tax
153,to make up their own minds as to the truth the media lies to make it look like i am against inteligence when in fact i am a big fan
154,the dishonest media likes saying that i am in agreement with julian asange  wrong i simply state what he states it is for the people
155,time for republicans  democrats to get together and come up with a healthcare plan that really works  much less expensive  far beter
156,do the typical political thing and blame the fact is obamacare was a lie from the beginingkep you doctor keep your plan it is
157,the democrats lead by head clown chuck schumer know how bad obamacare is and what a mess they are in instead of working to fix it they
158,jackie evancho album sales have skyrocketed after announcing her inauguration performancesome people just do nt understand the movement
159,massive increases of obamacare will take place this year and dems are to blame for the mess it will fall of its own weight  be careful
160,like the 16 hike in arizona also deductibles are so high that it is practically useless do nt let the schumer clowns out of this web
161,republicans must be careful in that the dems own the failed obamacare disaster with its poor coverage and massive premium increases
162,things they did and said like giving the questions to the debate to h a total double standard media as usual gave them a pass
163,somebody hacked the dnc but why did they not have hacking defense like the rnc has and why have they not responded to the terrible
164,thank you to ford for scrapping a new plant in mexico and creating 700 new jobs in the us this is just the beginning  much more to follow
165,julian asange on us media coverage “it’s very dishonest” hanity  more dishonest than anyone knows
166,julian asange said a 14 year old could have hacked podesta  why was dnc so careles also said rusians did not give him the info
167,the inteligence briefing on socaled rusian hacking was delayed until friday perhaps more time needed to build a case very strange
168,i will be having a general news conference on january eleventh in nyc thank you
169,trump is already delivering the jobs he promised america
170,there should be no further releases from gitmo these are extremely dangerous people and should not be allowed back onto the battlefield
171,instead of driving jobs and wealth away america will become the world great magnet for innovation  job creation
172,ford to scrap mexico plant invest in michigan due to trump policies
173,may be their number one act and priority focus on tax reform healthcare and so many other things of far greater importance dts
174,with all that congress has to work on do they really have to make the weakening of the independent ethics watchdog as unfair as it
175,the democrat governorof minesota said the affordable care act obamacare is no longer afordable  and it is lousy healthcare
176,people must remember that obamacare just does nt work and it is not affordable  16 increases arizona bill clinton called it crazy
177,general motors is sending mexican made model of chevy cruze to us car dealerstax free across border make in usaor pay big border tax
178,china has been taking out massive amounts of money  wealth from the us in totally onesided trade but wo nt help with north korea nice
179,north korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the us it wo nt hapen
180,i thought and felt i would win big easily over the fabled 270 306 when they canceled fireworks they knew and so did i
181,various media outlets and pundits say that i thought i was going to lose the election wrong it all came together in the last week and
182,just released a book called unprecedented which explores the 2016 race  victory hope it does well but used worst cover photo of me
183,chicago murder rate is record setting  04331 shooting victims with 762 murders in 2016 if mayor ca nt do it he must ask for federal help
184,wel the new year begins we wil together make america great again
185,rt  2016 has been one of the most eventful and exciting years of my life i wish you peace joy love and laughter happy new…
186,rt  happy new year everyone newyear family vacation familytime
187,rt  2016 was such an incredible year for our entire family my beautiful wife  made it even beter x1f1fax1f1f8x1f1fax1f1f8 …
188,rt  happy new year  god blessings to you all looking forward to incredible things in 2017  will make america…
189,rt  on behalf of our next potus   hapynewyear americax1f1fax1f1f8 htps…
190,to all americans hapynewyear  many blessings to you al looking forward to a wonderful  prosperous 2017 as we…
191,rt  happy birthday
192,happy birthday
193,happy new year to al including to my many enemies and those who have fought me and lost so badly they just do nt know what to do love
194,rusians are playing  and  for such fools  funny to watch they do nt have a clue  totally gets it
195,join  founded by hall of fame legend  on 1192017 in washington dc…
196,great move on delay by v putin  i always knew he was very smart
197,my administration will follow two simple rules
198,economists say trump delivered hope
199,not anymore the beginning of the end was the horrible iran deal and now this un stay strong israel january 20th is fast aproaching
200,we cannot continue to let israel be treated with such total disdain and disrespect they used to have a great friend in the us but
201,doing my best to disregard the many inflammatory president o statements and roadblocksthought it was going to be a smooth transition  not
202,the us consumer confidence index for december surged nearly four points to 137 the highest level in more than 15 years thanks donald
203,president obama campaigned hard and personaly in the very important swing states and lostthe voters wanted to make america great again
204,the djt foundation unlike most foundations never paid fes rent salaries or any expenses 10 of money goes to wonderful charities
205,i gave millions of dollars to djt foundation raised or recieved millions more all of which is given to charity and media wo nt report
206,the world was gloomy before i won  there was no hope now the market is up nearly 10 and christmas spending is over a trillion dolars
207,the united nations has such great potential but right now it is just a club for people to get together talk and have a good time so sad
208,president obama said that he thinks he would have won against me he should say that but i say no way  jobs leaving isis ocare etc
209,merry christmas and a very very very very happy new year to everyone
210,merychristmas
211,objectified tonight at 100 pm enjoy
212,happy hanukah
213,the big loss yesterday for israel in the united nations will make it much harder to negotiate peaceto bad but we will get it done anyway
214,purposely left out this part of my nuclear qoute until such time as the world comes to its senses regarding nukes dishonest
215,vladimir putin said today about hilary and dems in my opinion it is humiliating one must be able to lose with dignity so true
216,slaughter you this is a purely religious threat which turned into reality such hatred when will the us and all countries fight back
217,the terrorist who killed so many people in germany said just before crime by god will we will slaughter you pigs i swear we will
218,as to the un things will be different after jan 20th
219,my presidency is nt this a ridiculous shame he loves these kids has raised millions of dollars for them and now must stop wrong answer
220,my wonderful son eric will no longer be allowed to raise money for children with cancer because of a possible conflict of interest with
221,the socaled a list celebrities are all wanting tixs to the inauguration but look what they did for hilary nothing i want the people
222,based on the tremendous cost and cost overruns of the lockhed martin f35 i have asked boeing to priceout a comparable f18 super hornet
223,the united states must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes
224,someone incorrectly stated that the phrase drain the swamp was no longer being used by me actualy we will always be trying to dts
225,the resolution being considered at the united nations security council regarding israel should be vetoedcont
226,i met some really great air force generals and navy admirals today talking about airplane capability and pricing very impressive people
227,i have not heard any of the pundits or commentators discussing the fact that i spent far less money on the win than hilary on the los
228,i would have done even better in the election if that is posible if the winner was based on popular vote  but would campaign differently
229,campaigning to win the electoral college is much more difficult  sophisticated than the popular vote hilary focused on the wrong states
230,yes it is true  carlos slim the great businessman from mexico called me about getting together for a meeting we met he is a great guy
231,especially how to get people even with an unlimited budget out to vote in the vital swing states and more they focused on wrong states
232,bill clinton stated that i called him after the election wrong he called me with a very nice congratulations he does nt know much
233,pence congratulations to  officially elected president of the united states today by the electoral colege
234,graham congratulations to presidentelect the electoral votes are in and it oficial thank you franklin
235,rt  trumptrainx1f682x1f4a8x1f1fax1f1f8x1f1fax1f1f8x1f1fax1f1f8x1f1fax1f1f8
236,we did it thank you to all of my great suporters we just officially won the election despite all of the distorted and inaccurate media
237,today there were terror attacks in turkey switzerland and germany  and it is only getting worse the civilized world must change thinking
238,if my many supporters acted and threatened people like those who lost the election are doing they would be scorned  called terrible names
239,we should tell china that we do nt want the drone they stole back let them keep it
240,thank you alabama from now on it’s going to be americafirst our goal is to bring back that wonderful phrase…
241,rt  join presidentelect trump live from mobile alabama via his facebok page thankyoutour2016 watch …
242,china steals united states navy research drone in international waters  rips it out of water and takes it to china in unprecedented act
243,mobile alabama today at 30 pm last rally of the year  thank you alabama and the south biggest of all crowds expected see you there
244,e  many people are now saying you will be an extremely successful president makeamericagreatagain thank you
245,last night in orlando florida was incredible  massive crowd  thank you florida today at 30 pm i will be in alabama for last raly
246,thank you florida my administration will follow two simple rules buy american and hire american icymi watch…
247,thankyoutour2016 tonight orlando florida tickets tomorow mobile alabama tickets…
248,wel we all did it together i hope the movement fans will go to dc on jan 20th for the swearing in let set the all time record
249,are we talking about the same cyberatack where it was revealed that head of the dnc illegally gave hilary the questions to the debate
250,thank you pensylvania together we are going to make america great again watch here …
251,join me in mobile alabama on sat at 3pm thankyoutour2016 tickets
252,if rusia or some other entity was hacking why did the white house wait so long to act why did they only complain after hilary lost
253,the media tries so hard to make my move to the white house as it pertains to my busines so complex  when actually it is nt
